FolderNumber,Contents
74,"Bridgeman, George Thomas Orlando. 2 ALS to T. J. Pettigrew"
75,"Briggs, John Joseph, 1819-1876. 2 ALS to T.J. Pettigrew"
76,"Bright, Richard, 1789-1858. 7 ALS to T. J. Pettigrew"
77,"Brinckman, Charlotte (Godolphin), lady, d. 1838. AL to T. J. Pettigrew"
78,"Britton, John, 1771-1857. 4 ALS and 1 ALS fragment to T.J. Pettigrew"
79,"Brockett, John Trotter, 1788-1842. ALS to T. J. Pettigrew"
80,"Brodie, Sir Benjamin Collins, bart., 1783-1862. 14 ALS to T. J. Pettigrew"
81,"Brooke, Richard, 1791-1861. 3 ALS to T. J. Pettigrew"
82,"Brookes, Joshua, 1761-1833. 3 ALS and 2 AL to T. J. Pettigrew"
83,"Brougham, Henry Brougham, 1st Baron, 1778-1868. ALS and AL to T. J. Pettigrew"
84,"Brown, James, 1812-1881. AL to T. J. Pettigrew"
85,"Brownlow, Emma Sophia (Edgcumbe), Countess, 1791-1872. 2 AL to Dr. Sigmond and T. J. Pettigrew, and 1 AL to Pettigrew."
86,"Bruce, John Collingwood, 1805-1892. 2 ALS to T. J. Pettigrew"
87,"Buckland, William, 1784-1856. 4 ALS to T. J. Pettigrew"
88,"Burges, George, 1786?-1864. ALS to T. J. Pettigrew"
89,"Burgon, Thomas, 1787-1858. 2 ALS to T. J. Pettigrew"
90,"Burke, Sir John Bernard, 1814-1892. 5 ALS to T. J. Pettigrew"
91,"Burlington, Elizabeth (Compton) Cavendish, Countess of, 1760-1835. AL to T. J. Pettigrew"
92,"Burnett, Gilbert Thomas, 1800-1835. 2 ALS and 1 AL to T. J. Pettigrew"
93,"Burns, J. ALS to T. J. Pettigrew"
94,"Caley, John, d. 1834. 3 ALS to T. J. Pettigrew"
95,"Camden, George Charles Pratt, 2d Marquis of, 1799-1866. 3 ALS to T. J. Pettigrew"
96,"Carlisle, Sir Anthony, 1768-1840. 4 ALS to T. J. Pettigrew"
97,"Carlisle, Nicholas, 1771-1847. 16 ALS to T. J. Pettigrew"
98,"Carnarvon, Henry Howard Molyneux Herbert, 4th Earl of, 1831-1890. 10 ALS to T. J. Pettigrew"
99,"Carnwath, Robert Alexander Dalzell, 9th Earl of, 1768-1839. 2 ALS and 1 AL to T. J. Pettigrew"
100,"Carysfort, Elizabeth (Grenville) Proby, Countess of, 1756-1842. AL to T. J. Pettigrew"
101,"Carysfort, John Joshua Proby, 1st Earl of, 1751-1828. 7 ALS and 2 AL to [T. J. Pettigrew]"
102,"Cattermole, Richard, 1795-1858. 3 ALS to T. J. Pettigrew"
103,"Cavan, Frederick John William Lambart, 8th Earl of, 1815-1887. ALS to T. J. Pettigrew"
104,"Chalmers, Patrick, 1802-1854. ALS to T. J. Pettigrew"
105,"Chambers, William Frederick, 1786-1855. 2 ALS and 2 AL to T. J. Pettigrew"
106,"Champion de Crespigny, Sir Claude, bart., 1734-1818. AL to T. J. Pettigrew"
107,"Champion de Crespigny, Sir William, bart., 1765-1829. 1 ALS and 1 AL to T. J. Pettigrew"
108,"Charma, Antoine, 1801-1869. 3 ALS (in French) to T. J. Pettigrew"
109,"Cherry, Henry Curtis. ALS to T. J. Pettigrew"
110,"Chichester, Henry Thomas Pelham, 7th Earl of, 1804-1886. ALS to T. J. Pettigrew"
111,"Chichester, Sir John Palmer Bruce, bart. ALS to T. J. Pettigrew"
112,"Cholmondeley, Susan (Somerset) Cholmondeley, Marchioness, 1804-1886. AL to T. J. Pettigrew"
113,"Cholmondeley, William Henry Hugh Cholmondeley, 3d Marquis, 1800-1884. ALS to T. J. Pettigrew"
114,"Christmas, Henry, 1811-1868. ALS to T.J. Pettigrew"
115,"Churston, John Buller-Yarde-Buller, 1st Baron, 1799-1871. 2 ALS to T. J. Pettigrew"
116-119,"Cimitile, Principe di. 39 ALS and 3 AL to T. J. Pettigrew."
120,"Clanny, William Reid, 1776-1850. 5 ALS to T. J. Pettigrew"
121,"Clark, Sir James, 1788-1870. ALS and AL to T. J. Pettigrew"
122,"Clarke, Sir Charles Mansfield, bart., 1782-1857. 5 ALS to T. J. Pettigrew"
123,"Cleveland, Henry George Vane Powlett, 4th Duke of, 1803-1891. ALS to T. J. Pettigrew"
124,"Cleveland, Henry Vane, 2d Duke of, 1788-1864. ALS and AL to T. J. Pettigrew"
125,"Clifford, Sir Augustus William James, bart., 1788-1877. ALS to T. J. Pettigrew"
126,"Clifford, Charles Clifford, 6th Baron, 1759-1831. ALS to T. J. Pettigrew"
127,"Clifford, Charles Hugh Clifford, 8th Baron, 1819-1880. 2 ALS to T. J. Pettigrew"
128,"Clint, Scipio, 1805-1839. AL to T. J. Pettigrew"
129,"Close, Thomas, 1796-1881. ALS to T. J. Pettigrew"
130,"Clot, Antoine-barthélemy, 1793-1868. AL (in French) to T. J. Pettigrew and 1 calling card."
131,"Clutterbuck, Henry, 1767-1856. 8 ALS to T. J. Pettigrew"
132,"Cockburn, Sir William Sarsfield Rossiter, bart., 1796-1858. ALS to T. J. Pettigrew"
133,"Colborne, Nicholas William Ridley-Colborne, 1st Baron, 1779-1854. 5 ALS to T. J. Pettigrew"
134,"Coleridge, Sir John Taylor, 1790-1876. 2 ALS to T. J. Pettigrew"
135,"Collier, John Payne, 1789-1883. 2 ALS to T. J. Pettigrew"
136,"Collyer, William Bengo, 1782-1854. 3 ALS to T. J. Pettigrew"
137,"Combe, Taylor, 1774-1826. 2 ALS to T. J. Pettigrew"
138,"Conolly, John, 1794-1866. 7 ALS and 3 AL to T. J. Pettigrew"
139,"Conybeare, William Daniel, 1787-1857. ALS to T. J. Pettigrew"
140,"Conyngham, Henry Conyngham, 1st Marquess, 1766-1832. 2 ALS to T. J. Pettigrew"
141,"Cooke, John, 1756-1838. 7 ALS and 1 fragment to T. J. Pettigrew, 1 ALS to unidentified ""Madam."""
142,"Cooper, Sir Astley Paston, bart., 1768-1841. 14 ALS to T. J. Pettigrew and 1 ALS from Pettigrew to Cooper"
143,"Copeland, Thomas, 1781-1855. 5 ALS and 1 AL to T. J. Pettigrew"
144,"Copland, James, 1791-1870. 3 ALS to T. J. Pettigrew"
145,"Corblet, Louis-Achille-Jules, 1819-1886. ALS (in French) to T. J. Pettigrew"
146,"Corner, George Richard, 1801-1863. 5 ALS and 1 AL to T. J. Pettigrew"
147,"Cory, Isaac Preston, 1802-1842. ALS to T. J. Pettigrew"
148,"Costa, Sir Michael, 1810-1884. 7 ALS in French and 5 ALS in English to T. J. Pettigrew"
149,"Costello, Dudley, 1803-1865. 5 ALS to T. J. Pettigrew"
150,"Cotton, Henry, 1789-1879. ALS to T. J. Pettigrew"
151,"Coulson, William, 1802-1877. ALS to T. J. Pettigrew"
152,"Courtenay, Thomas Peregrine, 1782-1841. ALS to T. J. Pettigrew"
153,"Cowper, George Augustus Frederick, 6th Earl, 1806-1856. ALS to T. J. Pettigrew"
154,"Coxe, Henry Octavius, 1811-1881. 2 ALS to T. J. Pettigrew"
155,"Craven, Louisa (Brunton) Craven, Countess of, 1785-1860. AL to T. J. Pettigrew"
156,"Criticus, pseud. ALS to T. J. Pettigrew"
157,"Croker, Thomas Crofton, 1798-1854. 4 ALS to T. J. Pettigrew"
158,"Cruikshank, George, 1792-1878. 5 ALS to T. J. Pettigrew"
159,"Cullimore, Isaac, 1791-1852. 4 ALS to T. J. Pettigrew"
160,"Cunningham, Peter, 1816-1869. 2 LS to T. J. Pettigrew"
161,"Curtis, Sir William, bart., 1804-1870. ALS to T. J. Pettigrew"
162,"Darnley, John Stuart Bligh, 6th Earl of, 1827-1896. 6 ALS to T. J. Pettigrew"
163,"Dartmouth, William Legge, 4th Earl of, 1784-1853. 2 ALS to T. J. Pettigrew"
164,"Dartmouth, William Walter Legge, 5th Earl of, 1823-1891. 4 ALS to T. J. Pettigrew"
165,"Davidson, John, 1797-1836. 4 ALS to T. J. Pettigrew"
166,6 ALS to T. J. Pettigrew
167,Prospectus (signed)
168,"Davis, Nathan, 1812-1882. 2 ALS to T. J. Pettigrew"
169,"Delamere, Thomas Cholmondeley, 1st Baron, 1767-1855. AL to T. J. Pettigrew"
170,"Delille, Charles Jean. 2 ALS to T. J. Pettigrew"
171,"De Morgan, Augustus, 1806-1871. ALS to T. J. Pettigrew"
172,"Denman, Thomas Denman, 1st Baron, 1779-1854. 4 ALS to T. J. Pettigrew"
173,"Devon, William Reginald Courtenay, 30th Earl of, 1807-1888. ALS and 2 AL to T. J. Pettigrew"
174,"Devonshire, William Cavendish, 7th Duke of, 1808-1891. AL to T. J. Pettigrew"
175,"Devonshire, William George Spencer Cavendish, 6th Duke of, 1790-1858. ALS and AL to T. J. Pettigrew"
176,"D'Eyncourt, Charles Tennyson, 1784-1861. ALS to T. J. Pettigrew"
177,"Dillon, Sir William Henry, 1779-1857. 4 ALS to T. J. Pettigrew"
178,"Dimock, James Francis, 1810-1876. 3 ALS to T. J. Pettigrew and 1 ALS to ""Mr. Archdeacon"""
179,"Dixon, William Hepworth, 1821-1879. ALS and AL to T. J. Pettigrew"
180,"Donkin, Sir Rufane Shaw, 1773-1841. 2 ALS to T. J. Pettigrew"
181,"Donnelly, Sir Ross, 1761?-1840. 4 ALS and 3 AL to T. J. Pettigrew"
182,"Dover, Georgiana (Cavendish) Agar-Ellis, Baroness, 1804-1860. AL to Mr. Stephenson"
183,"Downshire, Arthur Wills Blundell Sandys Trumbull Windsor Hill, 4th Marquis of, 1812-1868. ALS to T. J. Pettigrew"
184,"Doyle, Sir Charles William, 1770-1842. AL to T. J. Pettigrew"
185,"Doyle, Sir John, bart., 1750?-1834. 2 ALS to T. J. Pettigrew"
186,"Drury, Henry Joseph Thomas, 1778-1841. 3 ALS to T. J. Pettigrew"
187,"Ducie, Henry John Reynolds-Moreton, 3d Earl of, 1827-1921. 5 ALS to T. J. Pettigrew"
188,"Duckett, Sir George, bart., 1777-1856. 2 AL to T. J. Pettigrew"
189,"Dufour, Charles, 1814-1887. ALS (in French) to T. J. Pettigrew"
190,"Dunbar, M. J. M. 7 ALS to T. J. Pettigrew"
191,"Dundas, Sir James Whitley Deans, 1785-1862. 3 ALS and 1 AL to T. J. Pettigrew"
192,"Dungannon, Arthur Hill-Trevor, 3d Viscount, 1798-1862. AL to T. J. Pettigrew"
193,"Dunkin, Alfred John, 1812-1879. ALS to T. J. Pettigrew"
194,"Dunraven, Edward Richard Wyndham Wyndham-Quin, 3d Earl of, 1812-1871. 2 ALS to T. J. Pettigrew"
195,"Dupont, Gustave Jules, 1820-1903. ALS to T. J. Pettigrew"
196,"Dwarris, Sir Fortunatus William Lilley, 1786-1860. 2 ALS to T. J. Pettigrew"
197,"Edwards, William Camden, 1777-1855. ALS to T. J. Pettigrew"
198,"Effingham, Henry Howard, 2d Earl of, 1806-1889. 5 ALS to T. J. Pettigrew"
199,"Effingham, Kenneth Alexander Howard, 1st Earl of, 1767-1845. 3 ALS to T. J. Pettigrew"
200,"Eglinton, Archibald William Montgomerie, 13th Earl of, 1812-1861. ALS to T. J. Pettigrew"
201,"Egmont, Bridget (Wynn) Perceval, Countess of, d. 1826. ALS and AL to T. J. Pettigrew"
202,"Ellis, Sir Henry, 1777-1869. 14 ALS to T. J. Pettigrew and 1 ALS to F. Maurice"
203,"Erksine, Thomas, 1788-1864. 4 ALS to T. J. Pettigrew"
204,"Erksine, Thomas Erksine, 1st Baron, 1750-1823. 2 ALS and 2 AL to T. J. Pettigrew"
205,"Essex, George Capel-Coningsby, 6th Earl of, 1757-1839. ALS to T. J. Pettigrew"
